排名,SKU组,包含SKU,类别,型号,颜色,状态,PackSize,2024月销_单只,2025月销_单只,2026_1-5月销_单只,全期月销_单只,2024合计_单只,2025合计_单只,2026_1-5合计_单只,有销售月份_29,排除0销量月份,最高单月销量_单只,同型号最佳颜色,同型号最佳SKU组,同型号最佳全期月销_单只,同型号最佳2024月销_单只,同型号最佳2025月销_单只,同型号最佳2026_1-5月销_单只,对比说明
250,LMWP-14M-SS,LMWP-14M-SS,Metal Wall Plate,LMWP-14M,Stainless Steel,Active,1,27.2,12.0,15.4,18.9,326.0,144.0,77.0,29,0,40.0,Brushed Brass,LMWP-14M-BB,39.4,24.6,48.1,54.2,候选 Stainless Steel 全期月销 18.9；同型号最佳 Brushed Brass 月销 39.4
251,LMWP-32M-AC,LMWP-32M-AC,Metal Wall Plate,LMWP-32M,Antique Copper,Active,1,19.2,20.9,13.0,18.9,231.0,251.0,65.0,29,0,43.0,Brushed Brass,LMWP-32M-BB,374.5,343.8,358.3,487.2,候选 Antique Copper 全期月销 18.9；同型号最佳 Brushed Brass 月销 374.5
252,LU-PD30AC-WWP,"LU-PD30AC-WWP, LU-PD30AC-WWP2P",USB OUTLET,LU-PD30AC,White,Active,"1, 2",19.9,17.6,19.4,18.9,239.0,211.0,97.0,29,0,62.0,Gold,LU-PD30AC-GDWP,200.0,78.5,213.3,289.2,候选 White 全期月销 18.9；同型号最佳 Gold 月销 200.0
253,LR15-4TR-WWP,LR15-4TR-WWP,Receptacle,LR15-4TR,White,Active,1,26.0,15.0,12.2,19.1,312.0,180.0,61.0,29,0,83.0,Black,LR15-4TR-BKWP,3.8,4.2,3.8,2.7,候选 White 全期月销 19.1；同型号最佳 Black 月销 3.8
254,LWP-1131O-ASV,"LWP-1131O-ASV, LWP-1131O-ASV5P",Wall Plate,LWP-1131O,Acrylic Silver,Active,"1, 5",22.8,20.2,7.2,19.1,274.0,243.0,36.0,29,0,38.0,Acrylic Gold,LWP-1131O-AGD,9.2,8.1,12.4,3.2,候选 Acrylic Silver 全期月销 19.1；同型号最佳 Acrylic Gold 月销 9.2
255,LMWP-1131M-SS,LMWP-1131M-SS,Metal Wall Plate,LMWP-1131M,Stainless Steel,Active,1,9.2,22.0,24.0,19.1,55.0,264.0,120.0,23,6,48.0,Brushed Brass,LMWP-1131M-BB,44.2,37.8,46.1,55.6,候选 Stainless Steel 全期月销 19.1；同型号最佳 Brushed Brass 月销 44.2
256,LWP-31M-GY,LWP-31M-GY,Wall Plate,LWP-31M,Gray,Active,1,12.9,24.7,21.6,19.3,155.0,296.0,108.0,29,0,52.0,White,LWP-31M-W,720.2,577.8,829.7,799.0,候选 Gray 全期月销 19.3；同型号最佳 White 月销 720.2
257,LSWP-01M-SG,LSWP-01M-SG10P,Screwless Wall Plate,LSWP-01M,Space Gray,Active,10,21.1,20.0,15.0,19.5,190.0,160.0,60.0,21,8,40.0,White,LSWP-01M-W,736.7,1066.2,547.2,400.6,候选 Space Gray 全期月销 19.5；同型号最佳 White 月销 736.7
258,LU-PD30AC-SGWP,LU-PD30AC-SGWP,USB OUTLET,LU-PD30AC,Space Gray,Inactive,1,7.0,24.9,17.4,19.7,28.0,299.0,87.0,21,8,69.0,Gold,LU-PD30AC-GDWP,200.0,78.5,213.3,289.2,候选 Space Gray 全期月销 19.7；同型号最佳 Gold 月销 200.0
259,LSWP-33M-BSV,LSWP-33M-BSV,Screwless Wall Plate,LSWP-33M,Brushed Silver,Active,1,20.1,20.6,17.0,19.8,241.0,247.0,85.0,29,0,49.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Brushed Silver 全期月销 19.8；同型号最佳 White 月销 1279.6
260,LTS-30M-G-WWP,LTS-30M-G-WWP,Timer,LTS-30M,White,Active,1,31.2,13.0,4.8,19.9,375.0,143.0,19.0,27,2,68.0,Light Almond,LTS-30M-LAWP,8.7,9.5,7.5,9.6,候选 White 全期月销 19.9；同型号最佳 Light Almond 月销 8.7
261,LSWP-33M-ASV,LSWP-33M-ASV,Screwless Wall Plate,LSWP-33M,Silver,Active,1,18.6,21.1,25.2,20.8,223.0,253.0,126.0,29,0,34.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Silver 全期月销 20.8；同型号最佳 White 月销 1279.6
262,LR15E-TR-BWSBWP,"LR15E-TR-BWSBWP, LR15E-TR-BWSBWP5P",Receptacle,LR15E-TR,Brushed White,Active,"1, 5",37.0,14.9,25.8,20.9,111.0,179.0,129.0,20,9,67.0,Black,LR15E-TR-BK,730.4,1142.2,653.3,174.0,候选 Brushed White 全期月销 20.9；同型号最佳 Black 月销 730.4
263,LWP-21O-ARG,"LWP-21O-ARG, LWP-21O-ARG5P",Wall Plate,LWP-21O,Rose Gold,Active,"1, 5",22.5,22.4,14.8,21.4,270.0,269.0,59.0,28,1,45.0,Acrylic Silver,LWP-21O-ASV,227.5,261.3,214.8,176.8,候选 Rose Gold 全期月销 21.4；同型号最佳 Acrylic Silver 月销 227.5
264,LU-PD30AC-SVWP,LU-PD30AC-SVWP,USB OUTLET,LU-PD30AC,Silver,Inactive,1,19.5,16.2,36.0,21.5,78.0,194.0,180.0,21,8,46.0,Gold,LU-PD30AC-GDWP,200.0,78.5,213.3,289.2,候选 Silver 全期月销 21.5；同型号最佳 Gold 月销 200.0
265,LTU-PD65AC2-W,LTU-PD65AC2-W,Desk Grommet,LTU-PD65AC2,White,Active,1,16.0,28.0,8.2,21.5,32.0,336.0,41.0,19,10,51.0,Black,LTU-PD65AC2-BK,67.9,21.0,94.5,23.0,候选 White 全期月销 21.5；同型号最佳 Black 月销 67.9
266,LWP-33M-BR,LWP-33M-BR,Wall Plate,LWP-33M,Brown,Active,1,12.2,31.2,22.6,21.8,146.0,374.0,113.0,29,0,43.0,White,LWP-33M-W,147.9,188.1,152.4,40.8,候选 Brown 全期月销 21.8；同型号最佳 White 月销 147.9
267,LSWP-32M-AGD,LSWP-32M-AGD,Screwless Wall Plate,LSWP-32M,Gold,Active,1,29.2,18.8,11.6,21.9,351.0,225.0,58.0,29,0,48.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Gold 全期月销 21.9；同型号最佳 White 月销 3751.2
268,LSWP-33M-BBK,LSWP-33M-BBK,Screwless Wall Plate,LSWP-33M,Brushed Black,Active,1,23.8,20.4,21.6,22.0,285.0,245.0,108.0,29,0,41.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Brushed Black 全期月销 22.0；同型号最佳 White 月销 1279.6
269,LCS3-1P-W,LCS3-1P-W,Combination Switch,LCS3-1P,White,Active,1,15.4,28.2,25.0,22.4,185.0,339.0,125.0,29,0,61.0,Black,LCS3-1P-BKSWP,63.1,52.7,75.8,57.6,候选 White 全期月销 22.4；同型号最佳 Black 月销 63.1
270,LMWP-12M-HB,LMWP-12M-HB,Metal Wall Plate,LMWP-12M,Hammered Brass,Active,1,22.5,23.6,22.0,22.9,270.0,283.0,110.0,29,0,46.0,Brushed Brass,LMWP-12M-BB,535.6,416.8,609.2,644.2,候选 Hammered Brass 全期月销 22.9；同型号最佳 Brushed Brass 月销 535.6
271,LGL-15TR-WWP,"LGL-15TR-WWP, LGL-15TR-WWP2P",Guide Light,LGL-15TR,White,Active,"1, 2",20.1,25.7,23.0,22.9,241.0,308.0,115.0,29,0,46.0,Gold,LGL-15TR-GDSWP,28.8,0.0,10.0,40.0,候选 White 全期月销 22.9；同型号最佳 Gold 月销 28.8
272,LMWP-11M-BBL,LMWP-11M-BBL,Metal Wall Plate,LMWP-11M,Brushed Blue,Active,1,24.0,26.2,14.0,23.2,288.0,315.0,70.0,29,0,55.0,Brushed Brass,LMWP-11M-BB,497.6,406.4,496.4,719.0,候选 Brushed Blue 全期月销 23.2；同型号最佳 Brushed Brass 月销 497.6
273,LMWP-11M-PC,LMWP-11M-PC,Metal Wall Plate,LMWP-11M,Polished Chrome,Active,1,32.4,18.2,14.2,23.4,389.0,218.0,71.0,29,0,65.0,Brushed Brass,LMWP-11M-BB,497.6,406.4,496.4,719.0,候选 Polished Chrome 全期月销 23.4；同型号最佳 Brushed Brass 月销 497.6
274,LU-6AC2-WWP,LU-6AC2-WWP,USB OUTLET,LU-6AC2,White,Inactive,1,27.4,23.4,14.6,23.4,301.0,281.0,73.0,28,1,49.0,Gold,LU-6AC2-GDWP,126.6,0.0,151.0,112.0,候选 White 全期月销 23.4；同型号最佳 Gold 月销 126.6
275,LSWP-34M-BNK,LSWP-34M-BNK,Screwless Wall Plate,LSWP-34M,Brushed Nickel,Active,1,21.2,26.3,21.8,23.4,254.0,316.0,109.0,29,0,45.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Brushed Nickel 全期月销 23.4；同型号最佳 White 月销 654.7
276,LWP-34M-BR,LWP-34M-BR,Wall Plate,LWP-34M,Brown,Active,1,13.6,32.4,29.2,23.4,163.0,324.0,146.0,27,2,63.0,Black,LWP-34M-BK,75.3,85.8,85.4,29.8,候选 Brown 全期月销 23.4；同型号最佳 Black 月销 75.3
277,LSMWP-02M-SS,LSMWP-02M-SS,Metal Wall Plate,LSMWP-02M,Stainless Steel,Active,1,27.1,18.9,25.6,23.4,325.0,227.0,128.0,29,0,74.0,Brushed Brass,LSMWP-02M-BB,5.7,5.2,6.7,4.4,候选 Stainless Steel 全期月销 23.4；同型号最佳 Brushed Brass 月销 5.7
278,LHS-FL-G-WWP,"LHS-FL-G-WWP, LHS-FL-G-WWP2P",Humidity Sensor,LHS-FL,White,Active,"1, 2",51.3,10.9,15.2,23.6,359.0,131.0,76.0,24,5,78.0,Black,LHS-FL-G-BKWP,12.4,11.9,12.0,14.2,候选 White 全期月销 23.6；同型号最佳 Black 月销 12.4
279,LSWP-32M-NK,LSWP-32M-NK,Screwless Wall Plate,LSWP-32M,Nickel,Active,1,18.6,20.5,43.4,23.7,223.0,246.0,217.0,29,0,52.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Nickel 全期月销 23.7；同型号最佳 White 月销 3751.2
280,LMWP-32M-HAB,LMWP-32M-HAB,Metal Wall Plate,LMWP-32M,Hammered Antique Brass,Active,1,21.4,25.2,26.8,23.9,257.0,302.0,134.0,29,0,52.0,Brushed Brass,LMWP-32M-BB,374.5,343.8,358.3,487.2,候选 Hammered Antique Brass 全期月销 23.9；同型号最佳 Brushed Brass 月销 374.5
281,LGL-15TR-LAWP,LGL-15TR-LAWP2P,Guide Light,LGL-15TR,Light Almond,Active,2,13.2,24.0,51.2,24.2,158.0,288.0,256.0,29,0,92.0,Gold,LGL-15TR-GDSWP,28.8,0.0,10.0,40.0,候选 Light Almond 全期月销 24.2；同型号最佳 Gold 月销 28.8
282,LWP-12O-AGD,"LWP-12O-AGD, LWP-12O-AGD5P",Wall Plate,LWP-12O,Acrylic Gold,Active,"1, 5",35.0,17.7,15.6,24.5,420.0,212.0,78.0,29,0,47.0,Acrylic Silver,LWP-12O-ASV,35.6,57.3,23.4,12.4,候选 Acrylic Gold 全期月销 24.5；同型号最佳 Acrylic Silver 月销 35.6
283,LGL-15TR-BKWP,LGL-15TR-BKWP2P,Guide Light,LGL-15TR,Black,Active,2,22.5,21.0,39.2,24.8,270.0,252.0,196.0,29,0,68.0,Gold,LGL-15TR-GDSWP,28.8,0.0,10.0,40.0,候选 Black 全期月销 24.8；同型号最佳 Gold 月销 28.8
284,LSWP-01M-GY,LSWP-01M-GY10P,Screwless Wall Plate,LSWP-01M,Gray,Active,10,23.6,30.9,12.5,25.0,260.0,340.0,50.0,26,3,70.0,White,LSWP-01M-W,736.7,1066.2,547.2,400.6,候选 Gray 全期月销 25.0；同型号最佳 White 月销 736.7
285,LSMWP-01M-SS,LSMWP-01M-SS,Metal Wall Plate,LSMWP-01M,Stainless Steel,Active,1,29.4,21.0,24.4,25.1,353.0,252.0,122.0,29,0,60.0,Brushed Brass,LSMWP-01M-BB,9.0,7.8,9.2,11.4,候选 Stainless Steel 全期月销 25.1；同型号最佳 Brushed Brass 月销 9.0
286,LS15-3W-SV,"LS15-3W-SV, LS15-3W-SV5P",Light Switch,LS15-3W,Silver,Active,"1, 5",23.2,25.9,27.8,25.1,279.0,311.0,139.0,29,0,54.0,Black,LS15-3W-BK,583.7,687.4,519.3,489.4,候选 Silver 全期月销 25.1；同型号最佳 Black 月销 583.7
287,LMWP-1131M-PB,LMWP-1131M-PB,Metal Wall Plate,LMWP-1131M,Polished Brass,Active,1,24.1,31.6,12.6,25.2,289.0,379.0,63.0,29,0,55.0,Brushed Brass,LMWP-1131M-BB,44.2,37.8,46.1,55.6,候选 Polished Brass 全期月销 25.2；同型号最佳 Brushed Brass 月销 44.2
288,LWP-41O-ABK,"LWP-41O-ABK, LWP-41O-ABK5P",Wall Plate,LWP-41O,Acrylic Black,"Active, Inactive","1, 5",20.1,35.2,5.0,25.5,201.0,422.0,15.0,25,4,93.0,Acrylic Gold,LWP-41O-AGD,11.0,9.2,16.0,4.0,候选 Acrylic Black 全期月销 25.5；同型号最佳 Acrylic Gold 月销 11.0
289,LSWP-33M-BR,LSWP-33M-BR,Screwless Wall Plate,LSWP-33M,Brown,Active,1,18.2,28.3,36.8,25.6,219.0,340.0,184.0,29,0,51.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Brown 全期月销 25.6；同型号最佳 White 月销 1279.6
290,LMWP-33M-PC,LMWP-33M-PC,Metal Wall Plate,LMWP-33M,Polished Chrome,Active,1,23.7,26.2,29.2,25.7,284.0,315.0,146.0,29,0,44.0,Brushed Brass,LMWP-33M-BB,105.1,99.9,106.2,115.2,候选 Polished Chrome 全期月销 25.7；同型号最佳 Brushed Brass 月销 105.1
291,LSWP-33M-BW,LSWP-33M-BW,Screwless Wall Plate,LSWP-33M,Brushed White,Active,1,27.8,21.5,31.0,25.7,333.0,258.0,155.0,29,0,46.0,White,LSWP-33M-W,1279.6,1391.2,1214.6,1167.6,候选 Brushed White 全期月销 25.7；同型号最佳 White 月销 1279.6
292,LWP-32O-AGD,"LWP-32O-AGD, LWP-32O-AGD5P",Wall Plate,LWP-32O,Acrylic Gold,Active,"1, 5",22.2,30.5,22.8,25.7,266.0,366.0,114.0,29,0,66.0,Acrylic Silver,LWP-32O-ASV,75.8,92.9,73.2,40.8,候选 Acrylic Gold 全期月销 25.7；同型号最佳 Acrylic Silver 月销 75.8
293,LMWP-21M-HC,LMWP-21M-HC,Metal Wall Plate,LMWP-21M,Hammered Chrome,Active,1,17.9,31.8,29.4,25.9,197.0,382.0,147.0,28,1,67.0,Stainless Steel,LMWP-21M-SS-,1545.9,939.6,1939.2,2057.0,候选 Hammered Chrome 全期月销 25.9；同型号最佳 Stainless Steel 月销 1545.9
294,LTU-RPD36AC2-BK,LTU-RPD36AC2-BK,Desk Grommet,LTU-RPD36AC2,Black,Active,1,25.0,29.2,19.4,26.2,50.0,350.0,97.0,19,10,64.0,White,LTU-RPD36AC2-W,48.5,26.5,68.2,10.0,候选 Black 全期月销 26.2；同型号最佳 White 月销 48.5
295,LDDS-1P-BKWP,LDDS-1P-BKWP2P,Dimmer,LDDS-1P,Black,Active,2,27.7,21.5,34.0,26.2,332.0,258.0,170.0,29,0,58.0,White,LDDS-1P-WWP,319.0,341.1,269.6,384.8,候选 Black 全期月销 26.2；同型号最佳 White 月销 319.0
296,LGL-3W-BKWP,"LGL-3W-BKWP, LGL-3W-BKWP2P",Guide Light,LGL-3W,Black,"Active, Inactive","1, 2",19.2,31.2,32.2,26.4,230.0,374.0,161.0,29,0,100.0,White,LGL-3W-WWP,37.4,54.8,24.2,27.6,候选 Black 全期月销 26.4；同型号最佳 White 月销 37.4
297,LMWP-11M-HB,LMWP-11M-HB,Metal Wall Plate,LMWP-11M,Hammered Brass,Active,1,28.2,25.8,23.4,26.4,339.0,309.0,117.0,29,0,52.0,Brushed Brass,LMWP-11M-BB,497.6,406.4,496.4,719.0,候选 Hammered Brass 全期月销 26.4；同型号最佳 Brushed Brass 月销 497.6
298,LWE3-315-GD,LWE3-315-GD,Outlet Extender,LWE3,Gold,Active,1,22.1,31.1,32.2,27.2,265.0,280.0,161.0,26,3,64.0,White,LWE3-315-W,9608.3,6464.7,11922.4,11599.2,候选 Gold 全期月销 27.2；同型号最佳 White 月销 9608.3
299,LWP-31O-ABK,"LWP-31O-ABK, LWP-31O-ABK5P",Wall Plate,LWP-31O,Acrylic Black,Active,"1, 5",36.8,20.7,19.8,27.2,441.0,248.0,99.0,29,0,73.0,Acrylic Silver,LWP-31O-ASV,411.9,532.8,333.9,309.2,候选 Acrylic Black 全期月销 27.2；同型号最佳 Acrylic Silver 月销 411.9
300,LMWP-11M-HAC,LMWP-11M-HAC,Metal Wall Plate,LMWP-11M,Hammered Antique Copper,Active,1,18.8,31.0,38.6,27.3,226.0,372.0,193.0,29,0,60.0,Brushed Brass,LMWP-11M-BB,497.6,406.4,496.4,719.0,候选 Hammered Antique Copper 全期月销 27.3；同型号最佳 Brushed Brass 月销 497.6
301,LMWP-13M-HAB,LMWP-13M-HAB,Metal Wall Plate,LMWP-13M,Hammered Antique Brass,Active,1,25.0,32.3,1.0,27.4,275.0,355.0,1.0,23,6,73.0,Brushed Brass,LMWP-13M-BB,173.2,53.5,178.2,304.6,候选 Hammered Antique Brass 全期月销 27.4；同型号最佳 Brushed Brass 月销 173.2
302,LMWP-12M-PC,LMWP-12M-PC,Metal Wall Plate,LMWP-12M,Polished Chrome,Active,1,33.4,23.7,23.2,27.6,401.0,284.0,116.0,29,0,47.0,Brushed Brass,LMWP-12M-BB,535.6,416.8,609.2,644.2,候选 Polished Chrome 全期月销 27.6；同型号最佳 Brushed Brass 月销 535.6
303,LWP-32M-BR,LWP-32M-BR,Wall Plate,LWP-32M,Brown,Active,1,23.6,29.1,33.8,27.6,283.0,349.0,169.0,29,0,68.0,White,LWP-32M-W,1109.0,888.2,1187.1,1451.4,候选 Brown 全期月销 27.6；同型号最佳 White 月销 1109.0
304,LR20-TR-LA,LR20-TR-LA,Receptacle,LR20-TR,Light Almond,Active,1,15.5,31.6,50.2,28.1,186.0,379.0,251.0,29,0,165.0,Gold,LR20-TR-GD,383.9,277.6,448.1,485.2,候选 Light Almond 全期月销 28.1；同型号最佳 Gold 月销 383.9
305,LSWP-32M-I,"LSWP-32M-I, LSWP-32M-I10P",Screwless Wall Plate,LSWP-32M,Ivory,Active,"1, 10",25.1,19.5,58.8,28.6,301.0,234.0,294.0,29,0,85.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Ivory 全期月销 28.6；同型号最佳 White 月销 3751.2
306,LMWP-13M-SS,LMWP-13M-SS,Metal Wall Plate,LMWP-13M,Stainless Steel,Inactive,1,19.2,21.2,70.0,28.8,231.0,254.0,350.0,29,0,92.0,Brushed Brass,LMWP-13M-BB,173.2,53.5,178.2,304.6,候选 Stainless Steel 全期月销 28.8；同型号最佳 Brushed Brass 月销 173.2
307,LS15E-3W-BBK,LS15E-3W-BBK5P,Light Switch,LS15E-3W,Brushed Black,Active,5,23.0,30.8,30.0,28.9,115.0,370.0,150.0,22,7,100.0,White,LS15E-3W-W,497.0,722.0,370.3,351.2,候选 Brushed Black 全期月销 28.9；同型号最佳 White 月销 497.0
308,LE5S-6SAC2-BK,LE5S-6SAC2-BK,Outlet Extender,LE5S,Black,Active,1,40.3,25.7,16.6,29.4,403.0,308.0,83.0,27,2,87.0,White,LE5S-4RAC2-W,176.2,197.5,185.2,112.0,候选 Black 全期月销 29.4；同型号最佳 White 月销 176.2
309,LMWP-31M-HAC,LMWP-31M-HAC,Metal Wall Plate,LMWP-31M,Hammered Antique Copper,Active,1,19.2,37.3,36.4,29.7,230.0,448.0,182.0,29,0,75.0,Brushed Brass,LMWP-31M-BB,1417.5,1299.3,1391.8,1762.6,候选 Hammered Antique Copper 全期月销 29.7；同型号最佳 Brushed Brass 月销 1417.5
310,LHS-F-G-BKWP,LHS-F-G-BKWP2P,Humidity Sensor,LHS-F,Black,Active,2,17.0,34.0,50.5,29.8,170.0,374.0,202.0,25,4,72.0,White,LHS-F-G-WWP,66.3,84.9,61.8,40.0,候选 Black 全期月销 29.8；同型号最佳 White 月销 66.3
311,LR20-TR-SV,"LR20-TR-SV, LR20-TR-SV5P",Receptacle,LR20-TR,Silver,Active,"1, 5",15.4,41.2,41.2,30.5,185.0,494.0,206.0,29,0,119.0,Gold,LR20-TR-GD,383.9,277.6,448.1,485.2,候选 Silver 全期月销 30.5；同型号最佳 Gold 月销 383.9
312,LSMWP-32M-SS,LSMWP-32M-SS,Metal Wall Plate,LSMWP-32M,Stainless Steel,Active,1,39.1,24.2,29.6,31.3,469.0,290.0,148.0,29,0,64.0,Brushed Brass,LSMWP-32M-BB,61.8,40.9,79.0,66.4,候选 Stainless Steel 全期月销 31.3；同型号最佳 Brushed Brass 月销 61.8
313,LR20-TR-GY,"LR20-TR-GY, LR20-TR-GY5P",Receptacle,LR20-TR,Gray,Active,"1, 5",39.6,27.2,21.8,31.4,475.0,327.0,109.0,29,0,105.0,Gold,LR20-TR-GD,383.9,277.6,448.1,485.2,候选 Gray 全期月销 31.4；同型号最佳 Gold 月销 383.9
314,LWP-32M-LA,LWP-32M-LA,Wall Plate,LWP-32M,Light Almond,Active,1,12.7,43.0,49.2,31.5,152.0,516.0,246.0,29,0,114.0,White,LWP-32M-W,1109.0,888.2,1187.1,1451.4,候选 Light Almond 全期月销 31.5；同型号最佳 White 月销 1109.0
315,LMWP-13M-AB,LMWP-13M-AB,Metal Wall Plate,LMWP-13M,Antique Brass,Active,1,28.9,39.8,10.7,31.7,347.0,477.0,32.0,27,2,105.0,Brushed Brass,LMWP-13M-BB,173.2,53.5,178.2,304.6,候选 Antique Brass 全期月销 31.7；同型号最佳 Brushed Brass 月销 173.2
316,LS15-3W-SG,"LS15-3W-SG, LS15-3W-SG5P",Light Switch,LS15-3W,Space Gray,Active,"1, 5",31.8,23.5,52.6,32.0,382.0,282.0,263.0,29,0,124.0,Black,LS15-3W-BK,583.7,687.4,519.3,489.4,候选 Space Gray 全期月销 32.0；同型号最佳 Black 月销 583.7
317,LWP-11O-AGD,"LWP-11O-AGD, LWP-11O-AGD5P",Wall Plate,LWP-11O,Acrylic Gold,Active,"1, 5",44.7,24.7,20.4,32.2,536.0,296.0,102.0,29,0,73.0,Acrylic Silver,LWP-11O-ASV,70.6,98.0,56.5,38.8,候选 Acrylic Gold 全期月销 32.2；同型号最佳 Acrylic Silver 月销 70.6
318,LSWP-01M-BR,LSWP-01M-BR10P,Screwless Wall Plate,LSWP-01M,Brown,Active,10,32.2,26.4,50.0,32.5,290.0,290.0,200.0,24,5,120.0,White,LSWP-01M-W,736.7,1066.2,547.2,400.6,候选 Brown 全期月销 32.5；同型号最佳 White 月销 736.7
319,LSWP-32M-BLA,LSWP-32M-BLA10P,Screwless Wall Plate,LSWP-32M,Light Almond,Active,10,29.1,39.2,26.0,32.9,320.0,470.0,130.0,28,1,80.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Light Almond 全期月销 32.9；同型号最佳 White 月销 3751.2
320,LE5S-4RAC2-BK,LE5S-4RAC2-BK,Outlet Extender,LE5S,Black,Active,1,36.5,36.8,16.8,33.0,365.0,441.0,84.0,27,2,77.0,White,LE5S-4RAC2-W,176.2,197.5,185.2,112.0,候选 Black 全期月销 33.0；同型号最佳 White 月销 176.2
321,LMWP-21M-AC,LMWP-21M-AC,Metal Wall Plate,LMWP-21M,Antique Copper,Active,1,28.6,34.4,41.2,33.2,343.0,413.0,206.0,29,0,95.0,Stainless Steel,LMWP-21M-SS-,1545.9,939.6,1939.2,2057.0,候选 Antique Copper 全期月销 33.2；同型号最佳 Stainless Steel 月销 1545.9
322,LS15E-3W-BW,LS15E-3W-BW5P,Light Switch,LS15E-3W,Brushed White,Active,5,33.0,31.8,37.0,33.3,165.0,350.0,185.0,21,8,85.0,White,LS15E-3W-W,497.0,722.0,370.3,351.2,候选 Brushed White 全期月销 33.3；同型号最佳 White 月销 497.0
323,LMWP-22M-BB,LMWP-22M-BB,Metal Wall Plate,LMWP-22M,Brushed Brass,Active,1,30.7,33.3,40.4,33.4,368.0,400.0,202.0,29,0,75.0,Stainless Steel,LMWP-22M-SS,39.4,41.3,42.1,25.8,候选 Brushed Brass 全期月销 33.4；同型号最佳 Stainless Steel 月销 39.4
324,LSWP-34M-LA,LSWP-34M-LA,Screwless Wall Plate,LSWP-34M,Light Almond,Active,1,29.4,33.2,43.8,33.4,353.0,398.0,219.0,29,0,70.0,White,LSWP-34M-W,654.7,740.4,614.6,545.0,候选 Light Almond 全期月销 33.4；同型号最佳 White 月销 654.7
325,LMWP-1121M-SS,LMWP-1121M-SS,Metal Wall Plate,LMWP-1121M,Stainless Steel,Active,1,11.0,35.4,73.8,33.5,110.0,425.0,369.0,27,2,154.0,Brushed Brass,LMWP-1121M-BB,50.1,36.7,51.8,78.0,候选 Stainless Steel 全期月销 33.5；同型号最佳 Brushed Brass 月销 50.1
326,LSWP-32M-BGY,"LSWP-32M-BGY, LSWP-32M-BGY10P",Screwless Wall Plate,LSWP-32M,Brushed Gray,"Active, Inactive","1, 10",27.5,36.5,39.2,34.0,220.0,365.0,196.0,23,6,80.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Brushed Gray 全期月销 34.0；同型号最佳 White 月销 3751.2
327,LDFS-1P3S-WWP,"LDFS-1P3S-WWP, LDFS-1P3S-WWP2P",Dimmer,LDFS-1P3S,White,Active,"1, 2",42.9,34.0,14.0,34.2,515.0,408.0,70.0,29,0,71.0,Black,LDFS-1P3S-BKWP,47.9,38.3,52.5,60.8,候选 White 全期月销 34.2；同型号最佳 Black 月销 47.9
328,LPS-1P-WWP,"LPS-1P-WWP, LPS-1P-WWP2P",Sensor Switch,LPS-1P,White,Active,"1, 2",31.9,49.2,8.4,35.0,383.0,590.0,42.0,29,0,79.0,Light Almond,LPS-1P-LAWP,15.0,2.0,14.3,24.4,候选 White 全期月销 35.0；同型号最佳 Light Almond 月销 15.0
329,LWE8-315-LA,LWE8-315-LA,Outlet Extender,LWE8,Light Almond,Active,1,25.6,45.5,34.2,35.0,307.0,501.0,137.0,27,2,75.0,White,LWE8-3RAC2-W,119.2,152.5,110.8,72.8,候选 Light Almond 全期月销 35.0；同型号最佳 White 月销 119.2
330,LSWP-32M-BSV,LSWP-32M-BSV,Screwless Wall Plate,LSWP-32M,Brushed Silver,Active,1,33.7,37.8,32.2,35.1,404.0,453.0,161.0,29,0,70.0,White,LSWP-32M-W,3751.2,3808.0,3425.7,4396.0,候选 Brushed Silver 全期月销 35.1；同型号最佳 White 月销 3751.2
331,LWE3-315-NK,LWE3-315-NK,Outlet Extender,LWE3,Nickel,Active,1,36.3,37.3,28.8,35.3,436.0,373.0,144.0,27,2,73.0,White,LWE3-315-W,9608.3,6464.7,11922.4,11599.2,候选 Nickel 全期月销 35.3；同型号最佳 White 月销 9608.3
332,LWP-12O-ASV,"LWP-12O-ASV, LWP-12O-ASV5P",Wall Plate,LWP-12O,Acrylic Silver,Active,"1, 5",57.3,23.4,12.4,35.6,688.0,281.0,62.0,29,0,78.0,Acrylic Gold,LWP-12O-AGD,24.5,35.0,17.7,15.6,候选 Acrylic Silver 全期月销 35.6；同型号最佳 Acrylic Gold 月销 24.5
333,LMWP-31M-HB,LMWP-31M-HB,Metal Wall Plate,LMWP-31M,Hammered Brass,Active,1,37.5,33.6,39.0,36.1,450.0,403.0,195.0,29,0,91.0,Brushed Brass,LMWP-31M-BB,1417.5,1299.3,1391.8,1762.6,候选 Hammered Brass 全期月销 36.1；同型号最佳 Brushed Brass 月销 1417.5
